Module,Control ID,Control Name,Control Description,Evidence Source,Automation Status,Implementation Status,Notes
GDPR,Article 20,Right to data portability,Data subject has right to receive personal data in structured machine-readable format,workers/identity/src/index.ts,Manual,Planned,Data export endpoint to be implemented
GDPR,Article 25,Data protection by design,Data protection by design and by default,database/schema/001_core.sql (RLS + encryption),Automated,Implemented,RLS + encryption + minimal data collection
GDPR,Article 30,Records of processing activities,Maintain records of processing activities,database/schema/001_core.sql (audit_logs),Automated,Implemented,Immutable audit_logs table
GDPR,Article 32,Security of processing,Implement appropriate technical and organisational measures,infrastructure/vault/ + packages/policy-engine/,Automated,Implemented,Vault + WASM policy engine + RLS
GDPR,Article 33,Notification of breach,Notify supervisory authority within 72 hours of becoming aware of breach,.github/workflows/security-audit.yml,Manual,Partial,Automated detection + manual notification processSelf-Healing,A.12.6,Technical vulnerability management,Automated detection and remediation of service failures and vulnerabilities,backend/routers/self_healing.py,Automated,Implemented,Health probes + circuit breakers + auto-remediation
Self-Healing,A.17.1,Information security continuity,Self-healing capabilities ensure service continuity during failures,backend/routers/self_healing.py,Automated,Implemented,Circuit breakers + resilience scoring + remediation logging
Adaptive,A.12.1,Operational procedures,Adaptive configuration engine auto-detects environment and optimizes settings,backend/routers/adaptive_engine.py,Automated,Implemented,Environment detection + feature flags + resource optimization
Adaptive,A.8.9,Configuration management,Runtime configuration management without service restarts,backend/routers/adaptive_engine.py,Automated,Implemented,ARM/AMD64 detection + deployment mode + feature flags
Agent Manager,A.8.26,Application security requirements,Agent registration heartbeat discovery and lifecycle management,backend/routers/agent_manager.py,Automated,Implemented,Agent registry + summoning + command queue
Agent Memory,A.8.11,Data masking,Agent memory service with GDPR-compliant purge capabilities,backend/routers/agent_memory.py,Automated,Implemented,Memory CRUD + search + per-agent purge for GDPR erasure
Runbooks,A.16.1,Incident management,Structured incident response procedures with severity levels and escalation,docs/runbooks/incident-response.md,Manual,Implemented,P1-P4 playbook + communication templates + post-mortem process
Runbooks,A.12.3,Backup,Documented backup and restore procedures with RTO/RPO targets,docs/runbooks/backup-restore.md,Manual,Implemented,Database + Vault + file storage backup with DR procedures
Crypto,A.10.1,Cryptographic controls,Post-quantum cryptography migration plan with phased timeline,docs/CRYPTO_MIGRATION.md,Manual,Implemented,Crypto inventory + hybrid PQC plan (2026-2032) + algorithm selection
License Scan,A.18.1,Legal compliance,Automated scanning of AI model and dependency licenses in CI/CD,.github/workflows/ai-license-scan.yml,Automated,Implemented,Python + Node.js + agent metadata license scanning
Docs CI,A.14.2,Security in development,Auto-generated API documentation deployed on every commit,.github/workflows/docs.yml,Automated,Implemented,TypeDoc + rustdoc + pdoc → GitHub Pages
Monitoring,A.8.16,Monitoring activities,External endpoint monitoring via Blackbox Exporter,infrastructure/monitoring/blackbox.yaml,Automated,Implemented,HTTP + HTTPS + TCP + DNS probes for all services
Sustainability,A.14.1,Environmental compliance,Carbon-aware scheduling configuration for sustainable operations,infrastructure/sustainability/carbon-aware-config.yaml,Manual,Planned,WattTime/ElectricityMaps integration + workload deferral
Governance,A.5.1,Information security policy,DAO governance stubs for future decentralized platform governance,contracts/InfinityOSGovernor.sol,Manual,Planned,OpenZeppelin Governor + categorized proposals + timelock
